# time 	NO2 	NO2Err 	avgNO2 	averageNO2std
1040.0 	 6.4197 	 0.5139 	11.7894 	 7.5049
1042.0 	 5.8045 	 0.7746 	11.8411 	 7.5239
1044.0 	 7.4185 	 0.5208 	11.8905 	 7.5377
1046.0 	 6.8352 	 0.7659 	11.9352 	 7.5481
1048.0 	 8.3156 	 0.4368 	11.9749 	 7.5582
1050.0 	12.3878 	 0.5244 	12.0120 	 7.5723
1052.0 	10.1418 	 0.4842 	12.0514 	 7.5945
1054.0 	 6.1250 	 0.5328 	12.0978 	 7.6275
1056.0 	 6.5959 	 0.5937 	12.1539 	 7.6717
1058.0 	 8.6463 	 0.5247 	12.2194 	 7.7247
1060.0 	 7.0693 	 0.5118 	12.2916 	 7.7822
1062.0 	 7.1792 	 0.5274 	12.3667 	 7.8397
1064.0 	 7.5078 	 0.4968 	12.4411 	 7.8930
1066.0 	 7.1775 	 0.5196 	12.5121 	 7.9391
1068.0 	 7.9011 	 0.5211 	12.5777 	 7.9765
1070.0 	10.0058 	 0.5241 	12.6361 	 8.0049
1072.0 	10.0852 	 0.5256 	12.6865 	 8.0253
1074.0 	 9.9773 	 0.5322 	12.7287 	 8.0393
1076.0 	 9.5269 	 0.5265 	12.7648 	 8.0497
1078.0 	 9.2671 	 0.4950 	12.7984 	 8.0597
1080.0 	 7.6411 	 0.8565 	12.8354 	 8.0726
1082.0 	 6.8079 	 0.7740 	12.8819 	 8.0912
1084.0 	 7.4986 	 0.5331 	12.9436 	 8.1174
1086.0 	 8.2860 	 0.5529 	13.0235 	 8.1521
1088.0 	 8.5090 	 0.6051 	13.1211 	 8.1955
1090.0 	 9.3253 	 0.5967 	13.2329 	 8.2477
1092.0 	 8.5675 	 0.5742 	13.3539 	 8.3089
1094.0 	 7.1163 	 0.8313 	13.4801 	 8.3802
1096.0 	 6.6650 	 0.5757 	13.6098 	 8.4625
1098.0 	 7.1328 	 0.6546 	13.7433 	 8.5561
1100.0 	 6.2720 	 1.0014 	13.8819 	 8.6595
1102.0 	 7.5237 	 0.6678 	14.0248 	 8.7695
1104.0 	 7.7685 	 0.7602 	14.1686 	 8.8809
1106.0 	 8.6902 	 1.0083 	14.3072 	 8.9882
1108.0 	 8.3360 	 1.0503 	14.4348 	 9.0873
1110.0 	10.1683 	 0.7584 	14.5480 	 9.1764
1112.0 	 9.6550 	 0.8097 	14.6469 	 9.2563
1114.0 	11.6024 	 0.9297 	14.7337 	 9.3291
1116.0 	13.2517 	 1.0404 	14.8118 	 9.3969
1118.0 	10.4524 	 0.8214 	14.8832 	 9.4610
1120.0 	 9.3958 	 0.9441 	14.9487 	 9.5215
1122.0 	10.4266 	 0.9828 	15.0076 	 9.5780
1124.0 	 8.6254 	 0.8070 	15.0580 	 9.6299
1126.0 	 8.9191 	 0.8562 	15.0976 	 9.6764
1128.0 	10.0852 	 0.6735 	15.1242 	 9.7161
1130.0 	10.1760 	 0.6789 	15.1375 	 9.7481
1132.0 	 8.6524 	 0.7218 	15.1407 	 9.7725
1134.0 	 7.1105 	 0.7362 	15.1409 	 9.7909
1136.0 	 7.0636 	 0.7452 	15.1477 	 9.8070
1138.0 	 7.8227 	 0.8259 	15.1700 	 9.8242
1140.0 	 7.9813 	 0.7068 	15.2118 	 9.8449
1142.0 	 7.9413 	 0.6486 	15.2705 	 9.8689
1144.0 	 7.7881 	 0.5796 	15.3380 	 9.8943
1146.0 	 9.1953 	 0.6120 	15.4041 	 9.9192
1148.0 	 9.8085 	 0.6381 	15.4607 	 9.9432
1150.0 	 8.5577 	 0.6360 	15.5044 	 9.9676
1152.0 	 8.0587 	 0.6546 	15.5365 	 9.9953
1154.0 	 8.9355 	 0.6468 	15.5607 	10.0289
1156.0 	 7.9826 	 0.6303 	15.5803 	10.0697
1158.0 	 9.0142 	 0.8256 	15.5975 	10.1177
1160.0 	 8.9802 	 0.6651 	15.6129 	10.1720
1162.0 	 9.9868 	 0.6534 	15.6268 	10.2317
1164.0 	 9.4750 	 0.5886 	15.6398 	10.2960
1166.0 	 9.7866 	 0.6168 	15.6523 	10.3638
1168.0 	 9.2221 	 0.5451 	15.6638 	10.4335
1170.0 	 9.5430 	 0.5565 	15.6733 	10.5027
1172.0 	 9.8128 	 0.5346 	15.6795 	10.5696
1174.0 	10.3145 	 0.5334 	15.6833 	10.6340
1176.0 	 9.8555 	 0.5610 	15.6886 	10.6982
1178.0 	 9.4809 	 0.6084 	15.7020 	10.7657
1180.0 	 9.0411 	 0.6234 	15.7310 	10.8396
1182.0 	 9.5567 	 0.5775 	15.7816 	10.9202
1184.0 	 8.9478 	 0.7116 	15.8564 	11.0046
1186.0 	 8.0892 	 0.7293 	15.9542 	11.0875
1188.0 	 7.7970 	 0.7491 	16.0708 	11.1628
1190.0 	 7.5593 	 0.7431 	16.1994 	11.2254
1192.0 	 7.5605 	 0.8337 	16.3319 	11.2714
1194.0 	 7.9744 	 1.1172 	16.4595 	11.2975
1196.0 	10.0070 	 0.6360 	16.5736 	11.2997
1198.0 	 9.2878 	 0.7029 	16.6666 	11.2740
1200.0 	 8.7430 	 0.6612 	16.7331 	11.2163
1202.0 	 8.7598 	 0.7038 	16.7694 	11.1240
1204.0 	10.1285 	 0.6423 	16.7743 	10.9972
1206.0 	 9.3528 	 0.6543 	16.7485 	10.8402
1208.0 	 8.7972 	 0.6780 	16.6954 	10.6606
1210.0 	 8.6764 	 0.5718 	16.6207 	10.4696
1212.0 	 9.2539 	 0.5568 	16.5332 	10.2794
1214.0 	10.2811 	 0.5781 	16.4423 	10.1011
1216.0 	 9.7695 	 0.5766 	16.3571 	 9.9425
1218.0 	 9.6453 	 0.6081 	16.2835 	 9.8063
1220.0 	 9.4940 	 0.5991 	16.2232 	 9.6911
1222.0 	 9.5396 	 0.5721 	16.1744 	 9.5926
1224.0 	 9.5258 	 0.5808 	16.1333 	 9.5065
1226.0 	 9.4791 	 0.6450 	16.0968 	 9.4309
1228.0 	 9.6335 	 0.6588 	16.0638 	 9.3666
1230.0 	 9.7944 	 0.6234 	16.0361 	 9.3163
1232.0 	 9.7680 	 0.6006 	16.0169 	 9.2828
1234.0 	 9.6864 	 0.5961 	16.0094 	 9.2674
1236.0 	 9.6011 	 0.5481 	16.0156 	 9.2690
1238.0 	 9.6230 	 0.5184 	16.0346 	 9.2837
1240.0 	10.6050 	 0.5112 	16.0630 	 9.3056
1242.0 	10.7510 	 0.5112 	16.0944 	 9.3276
1244.0 	11.1004 	 0.5298 	16.1216 	 9.3424
1246.0 	12.1626 	 0.5256 	16.1374 	 9.3433
1248.0 	11.6186 	 0.5907 	16.1367 	 9.3259
1250.0 	11.4606 	 0.5916 	16.1180 	 9.2886
1252.0 	11.0174 	 0.5898 	16.0827 	 9.2332
1254.0 	11.3931 	 0.5811 	16.0347 	 9.1641
1256.0 	10.8610 	 0.5844 	15.9782 	 9.0871
1258.0 	 9.8571 	 0.5508 	15.9174 	 9.0071
1260.0 	10.2680 	 0.5382 	15.8547 	 8.9280
1262.0 	10.7355 	 0.5241 	15.7919 	 8.8513
1264.0 	11.3607 	 0.5259 	15.7308 	 8.7778
1266.0 	11.7018 	 0.5337 	15.6739 	 8.7072
1268.0 	11.1229 	 0.4857 	15.6249 	 8.6397
1270.0 	11.3713 	 0.5088 	15.5877 	 8.5754
1272.0 	11.0878 	 0.5301 	15.5643 	 8.5143
1274.0 	10.8949 	 0.5373 	15.5536 	 8.4553
1276.0 	11.4792 	 0.5964 	15.5494 	 8.3959
1278.0 	12.1094 	 0.6312 	15.5425 	 8.3327
1280.0 	12.1149 	 0.6324 	15.5226 	 8.2625
1282.0 	11.3781 	 0.6585 	15.4825 	 8.1838
1284.0 	12.6473 	 0.5871 	15.4214 	 8.0983
1286.0 	11.5872 	 0.5706 	15.3452 	 8.0117
1288.0 	12.2646 	 0.5490 	15.2660 	 7.9327
1290.0 	11.7021 	 0.5637 	15.1976 	 7.8711
1292.0 	11.7285 	 0.5568 	15.1519 	 7.8351
1294.0 	10.8428 	 0.5475 	15.1350 	 7.8293
1296.0 	11.0202 	 0.6045 	15.1462 	 7.8530
1298.0 	11.3108 	 0.6426 	15.1783 	 7.9011
1300.0 	11.6928 	 0.5856 	15.2214 	 7.9653
1302.0 	10.9697 	 0.5418 	15.2657 	 8.0364
1304.0 	11.2360 	 0.5862 	15.3043 	 8.1065
1306.0 	11.6144 	 0.5658 	15.3346 	 8.1700
1308.0 	11.8930 	 0.5535 	15.3580 	 8.2242
1310.0 	11.7537 	 0.5469 	15.3787 	 8.2685
1312.0 	11.1618 	 0.5088 	15.4012 	 8.3041
1314.0 	10.2882 	 0.5277 	15.4292 	 8.3327
1316.0 	 9.9166 	 0.5328 	15.4637 	 8.3561
1318.0 	10.4400 	 0.5304 	15.5036 	 8.3757
1320.0 	10.6182 	 0.5937 	15.5458 	 8.3926
1322.0 	10.9675 	 0.6066 	15.5871 	 8.4077
1324.0 	11.3891 	 0.5856 	15.6247 	 8.4217
1326.0 	11.2356 	 0.6063 	15.6577 	 8.4352
1328.0 	11.2370 	 0.6060 	15.6870 	 8.4495
1330.0 	10.9938 	 0.5946 	15.7148 	 8.4656
1332.0 	11.4770 	 0.5430 	15.7436 	 8.4844
1334.0 	11.8076 	 0.5307 	15.7759 	 8.5064
1336.0 	12.5558 	 0.5394 	15.8127 	 8.5313
1338.0 	12.9273 	 0.5604 	15.8536 	 8.5579
1340.0 	13.7950 	 0.5247 	15.8964 	 8.5848
1342.0 	13.2756 	 0.4944 	15.9377 	 8.6103
1344.0 	13.8288 	 0.5166 	15.9736 	 8.6326
1346.0 	13.7270 	 0.5217 	16.0003 	 8.6502
1348.0 	11.7923 	 0.5595 	16.0153 	 8.6623
1350.0 	11.3238 	 0.5598 	16.0168 	 8.6686
1352.0 	10.7536 	 0.5244 	16.0040 	 8.6700
1354.0 	10.6580 	 0.5256 	15.9768 	 8.6679
1356.0 	11.1670 	 0.4980 	15.9348 	 8.6640
1358.0 	10.8924 	 0.5475 	15.8786 	 8.6589
1360.0 	10.9594 	 0.4854 	15.8099 	 8.6531
1362.0 	11.5359 	 0.5070 	15.7319 	 8.6466
1364.0 	11.4151 	 0.5259 	15.6502 	 8.6398
1366.0 	12.0218 	 0.5253 	15.5711 	 8.6340
1368.0 	11.8057 	 0.6303 	15.5012 	 8.6311
1370.0 	11.3754 	 0.6183 	15.4455 	 8.6332
1372.0 	10.9402 	 0.6297 	15.4072 	 8.6418
1374.0 	10.6050 	 0.6060 	15.3862 	 8.6577
1376.0 	11.0038 	 0.6138 	15.3799 	 8.6814
1378.0 	10.8209 	 0.6207 	15.3831 	 8.7135
1380.0 	10.5919 	 0.5913 	15.3882 	 8.7541
1382.0 	10.7066 	 0.5484 	15.3864 	 8.8014
1384.0 	10.3693 	 0.5316 	15.3690 	 8.8509
1386.0 	10.6037 	 0.5421 	15.3291 	 8.8954
1388.0 	10.1537 	 0.5547 	15.2640 	 8.9266
1390.0 	10.4402 	 0.5544 	15.1761 	 8.9383
1392.0 	 9.9145 	 0.5136 	15.0721 	 8.9285
1394.0 	 9.3798 	 0.5748 	14.9611 	 8.9000
1396.0 	 9.9071 	 0.5538 	14.8516 	 8.8586
1398.0 	 9.5545 	 0.5769 	14.4987 	 8.8574
1400.0 	 9.2519 	 0.5853 	14.3873 	 8.9543
1402.0 	 9.4567 	 0.5874 	14.3482 	 8.8532
1404.0 	10.3162 	 0.5694 	13.9821 	 8.9575
1406.0 	10.2950 	 0.5670 	13.8643 	 8.8525
1408.0 	 9.7031 	 0.5781 	13.2983 	 8.8537
1410.0 	 8.8752 	 0.5742 	12.8987 	 8.9579
1412.0 	 9.0138 	 0.5682 	12.7592 	 8.8583
1414.0 	 9.2972 	 0.5676 	12.6421 	 8.8573
1416.0 	 9.3133 	 0.5529 	12.5823 	 8.9557
1418.0 	 8.5953 	 0.5466 	12.4843 	 8.8544
1420.0 	 8.1552 	 0.5418 	12.3568 	 8.7575
1422.0 	 8.1104 	 0.5568 	12.2093 	 8.7543
1424.0 	 7.9576 	 0.5607 	12.0098 	 8.8523
1426.0 	 7.3184 	 0.5787 	11.9821 	 8.9528
1428.0 	 6.8961 	 0.5601 	11.6872 	 8.8517
1430.0 	 6.7449 	 0.5601 	11.5267 	 8.9575
1432.0 	 6.8909 	 0.5772 	11.2082 	 8.7523
1434.0 	 6.3639 	 0.5340 	10.9872 	 8.7572
1436.0 	 6.2020 	 0.5514 	10.8245 	 8.9562
1438.0 	 5.8477 	 0.5538 	10.3987 	 8.5595
1440.0 	 4.3857 	 0.5531	 	 9.9722 	 8.6561
